id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,liveness,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,bright|danceable|uplifting,0.12,0.02
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020s,calm|focused|dreamy,0.08,0.55
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,powerful|driving|aggressive,0.18,0.04
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020s,calm|cozy|dreamy,0.06,0.60
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020s,driving|empowering|danceable,0.14,0.01
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,41,2010s,dreamy|spacious|meditative,0.05,0.78
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,57,1990s,warm|relaxed|smooth,0.32,0.20
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,63,2010s,nocturnal|moody|driving,0.10,0.08
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2020s,focused|calm|steady,0.07,0.62
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,71,2010s,bright|danceable|uplifting,0.16,0.05
11,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,58,0.72,0.25,0.97,44,2000s,peaceful|elegant|serene,0.09,0.88
12,Corner Store Flex,Jay Riddim,hip-hop,confident,0.78,96,0.70,0.85,0.12,76,2020s,bold|swagger|danceable,0.20,0.03
13,Velvet Overtime,Sable Monroe,r&b,romantic,0.55,88,0.76,0.72,0.38,67,2010s,smooth|romantic|warm,0.15,0.10
14,Iron Collapse,Dreadforge,metal,angry,0.97,168,0.22,0.52,0.04,59,2010s,aggressive|powerful|raw,0.22,0.06
15,Dusty Back Roads,The Hathaways,country,nostalgic,0.48,98,0.65,0.61,0.74,46,1990s,nostalgic|warm|storytelling,0.28,0.12
16,Island Morning,Sun Irie,reggae,uplifting,0.63,82,0.88,0.79,0.55,65,2000s,sunny|uplifting|rhythmic,0.35,0.08
17,Rainy Tuesday Blues,Hal Covey,blues,melancholic,0.44,76,0.31,0.48,0.82,52,1970s,melancholic|soulful|raw,0.42,0.15
18,Groove Cabinet,The Slick Six,funk,groovy,0.85,112,0.91,0.93,0.20,80,2000s,groovy|danceable|funky,0.25,0.04
